prefer,track_id,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,7dJz5tWLTGAAzotEWQYsIj,2nd Moon,Gyeongbokgung taryeong (Feat. Chae Soo-hyun),0.246,0.61,5,-6.75,1,0.0429,0.0101,0,0.386,0.333,174.251,232000,3
0,2YkNyDUgSo62w5CeNbWSdX,2nd Moon,Heung taryeong (Feat. Kim Jun-soo),0.422,0.415,0,-8.353,0,0.0391,0.903,3.93e-06,0.393,0.122,131.255,288000,3
0,79xxtoVfD4GS8rhKaSEt1o,2nd Moon,Cheongsando (Feat. 하윤주),0.242,0.318,8,-10.725,1,0.0337,0.831,5.55e-05,0.129,0.101,93.835,366000,3
0,3uYcXGhAtklKWWgQ83cyaV,2nd Moon,Monggeumpo taryeong (Feat. Chae Soo-hyun),0.393,0.401,0,-8.327,1,0.0327,0.459,1.22e-06,0.157,0.26,76.001,301000,3
0,0CqxzGAxsTzGfdAnLdQOxW,2nd Moon,Woljeongmyeong (Feat. 하윤주),0.37,0.302,9,-7.642,1,0.0368,0.953,0,0.11,0.148,68.282,254000,3
0,2ni7Pe7xoxDH8JxeMLsAcf,2nd Moon,Sacheolga (Feat. Kim Jun-soo),0.433,0.371,9,-8.181,0,0.059,0.294,0,0.125,0.178,115.206,260000,3
0,5FybNvu7LdIJsBUxpCSyMw,2nd Moon,Moraneun (Feat. 하윤주),0.412,0.392,9,-8.454,1,0.0309,0.607,0,0.138,0.181,80.032,245000,3
0,4equ9rdjCtlG1mBvAOe4lm,2nd Moon,Binari (Feat. Chae Soo-hyun),0.656,0.597,8,-7.623,1,0.081,0.678,0,0.108,0.486,119.705,436000,4
0,2CCQ6UOMpUyEiCoMFjboFO,2nd Moon,쑥대머리 (feat. 고영열),0.449,0.119,9,-13.332,0,0.0381,0.917,8.32e-06,0.136,0.225,143.5,248000,3
0,5b24PUMEG4yrh5MnmXxRm0,2nd Moon,적성가 (feat. 김준수),0.406,0.654,7,-6.158,0,0.066,0.217,0,0.123,0.434,119.994,235000,4
0,7dodyWPSh1thGzKEPTWxrM,2nd Moon,만첩청산 (feat. 고영열),0.521,0.124,9,-12.281,1,0.0534,0.97,5.89e-06,0.0978,0.255,132.296,153000,4
0,4gTBBu9hZNLFUYbctLk1xo,2nd Moon,신연맞어 (feat. 고영열),0.541,0.603,7,-8.689,1,0.114,0.157,0,0.101,0.464,118.828,192000,4
0,09JgVBwLv0ufm9KmXi7yMb,우리소리 모색 Woorisori Mosaek,서울사람 The Man From Seoul,0.496,0.196,5,-12.064,0,0.0354,0.936,7.77e-05,0.235,0.378,146.62,255553,3
0,2fQRIdtl2ppL44QpvjXzyQ,우리소리 모색 Woorisori Mosaek,귀향(歸鄕) Back Home,0.392,0.26,11,-10.619,0,0.031,0.668,0.0018,0.391,0.11,109.621,331814,3
0,1QCo4FWcqcj50n3iF30Uo9,우리소리 모색 Woorisori Mosaek,밤하늘 별 일곱 Seven Stars In Night Sky,0.256,0.24,0,-11.03,1,0.0288,0.911,0.000143,0.0937,0.18,183.783,261984,4
0,2oT5smXz92wrQ4LYPQp5KI,우리소리 모색 Woorisori Mosaek,갈까부다 Yearning For Following,0.345,0.172,2,-10.915,1,0.0448,0.797,0,0.157,0.183,82.228,271865,5
0,0EaSEfDlelzwUlmYadOxWl,우리소리 모색 Woorisori Mosaek,"별주부 세상나오다 Byeoljubu, To The Land",0.427,0.275,4,-8.724,1,0.0351,0.799,2.75e-05,0.0798,0.114,133.643,434515,3
0,1dGyVkqGwbK0yd0apXrBlV,우리소리 모색 Woorisori Mosaek,나비가 Butterfly Sarangga,0.405,0.26,0,-9.414,0,0.0486,0.874,0.000832,0.0896,0.0792,169.738,247249,3
0,0OOFeBTD45nKinVrg8OPSB,우리소리 모색 Woorisori Mosaek,추억 Memory,0.35,0.147,0,-12.887,0,0.0438,0.965,2.51e-05,0.0753,0.117,89.198,346141,3
0,0BKOD4cf6eYuhJbDoGBFvq,Coreyah,넘어갔네 Attracted,0.666,0.154,1,-12.757,1,0.0371,0.865,0.00892,0.11,0.287,117.869,301973,3
0,7MCxM1sroDHD2WhGTzBwpM,Coreyah,The Love Principle,0.873,0.493,11,-5.447,0,0.0431,0.0652,0.00357,0.0875,0.953,108.061,190000,4
0,5OtcgKUceNzBInXmeIyjVa,Coreyah,너랑 나랑 뻑국뻑국,0.432,0.402,1,-11.243,1,0.0348,0.452,1.17e-06,0.119,0.777,89.501,197193,4
0,5PuaIOfBHuyREEFpgZ3lz7,Coreyah,Whale of a Time,0.551,0.597,11,-5.02,1,0.0318,0.508,4.26e-06,0.307,0.189,110.059,299213,4
0,1DMqAu1oelqb2xVW6GS2T7,Coreyah,하얀날개 Asa Branca,0.424,0.681,6,-4.983,1,0.0428,0.47,3.11e-06,0.0634,0.331,121.952,224013,4
0,3XPYiJZLS5tzRi9kCgTkFn,Coreyah,개구리 Frog,0.795,0.522,1,-6.67,1,0.0552,0.255,8.57e-05,0.0769,0.744,152.152,225840,4
0,31pP5QxQ0hfpgq4tEd6610,Coreyah,박수 쳐,0.707,0.809,5,-8.653,1,0.0399,0.0901,0,0.167,0.76,104.042,213884,4
0,3SSQTBIwO0lEXXukq5Rph2,Coreyah,의심스럽네,0.369,0.824,2,-8.491,1,0.151,0.474,0,0.27,0.505,93.721,244351,3
0,1AeKEjeEC31zKVSp9nCDco,Coreyah,서울,0.593,0.355,8,-10.33,1,0.127,0.0655,1.55e-05,0.0693,0.854,150.122,202716,3
0,4rdQHdJsb0zqfQ5lpYUmaP,Coreyah,내일 아침에,0.621,0.278,3,-12.962,1,0.0345,0.507,0.00246,0.104,0.174,122.072,248500,3
